#FamilyID	pvalue	Significant at 0.05
N0.HOG0001296	0.94	n
N0.HOG0001297	0.839	n
N0.HOG0001298	0.27	n
N0.HOG0001300	0.15	n
N0.HOG0001305	0.567	n
N0.HOG0001306	0.499	n
N0.HOG0001307	0.004	y
N0.HOG0001308	0.701	n
N0.HOG0001309	0.728	n
N0.HOG0001310	0.217	n
N0.HOG0001311	0.447	n
N0.HOG0001312	0.263	n
N0.HOG0001313	0.203	n
N0.HOG0001314	0.596	n
N0.HOG0001315	0.606	n
N0.HOG0001316	0.649	n
N0.HOG0001318	0.168	n
N0.HOG0001319	0.053	n
N0.HOG0001320	0.782	n
N0.HOG0001321	0.74	n
N0.HOG0001323	0.985	n
N0.HOG0001324	0.944	n
N0.HOG0001325	0.876	n
N0.HOG0001327	0.913	n
N0.HOG0001329	0.902	n
N0.HOG0001330	0.676	n
N0.HOG0001331	0.911	n
N0.HOG0001333	0.819	n
N0.HOG0001334	0.879	n
N0.HOG0001335	0.913	n
N0.HOG0001336	0.344	n
N0.HOG0001337	0.803	n
N0.HOG0001338	0.056	n
N0.HOG0001340	0.38	n
N0.HOG0001341	0.637	n
N0.HOG0001342	0.54	n
N0.HOG0001343	0.001	y
N0.HOG0001347	0.305	n
N0.HOG0001348	0.002	y
N0.HOG0001349	0.083	n
N0.HOG0001356	0.208	n
N0.HOG0001357	0.464	n
N0.HOG0001358	0.84	n
N0.HOG0001359	0.635	n
N0.HOG0001360	0	y
N0.HOG0001364	0	y
N0.HOG0001366	0	y
N0.HOG0001367	0.045	y
N0.HOG0001368	0.054	n
N0.HOG0001370	0.053	n
N0.HOG0001371	0.761	n
N0.HOG0001372	0.577	n
N0.HOG0001373	0.678	n
N0.HOG0001374	0.314	n
N0.HOG0001375	0.071	n
N0.HOG0001376	0.647	n
N0.HOG0001377	0.387	n
N0.HOG0001378	0.29	n
N0.HOG0001379	0.036	y
N0.HOG0001381	0.028	y
N0.HOG0001383	0.014	y
N0.HOG0001384	0.74	n
N0.HOG0001385	0.783	n
N0.HOG0001386	0.824	n
N0.HOG0001387	0.156	n
N0.HOG0001388	0.048	y
N0.HOG0001390	0.913	n
N0.HOG0001391	0.979	n
N0.HOG0001392	0.624	n
N0.HOG0001393	0.813	n
N0.HOG0001394	0.813	n
N0.HOG0001395	0.743	n
N0.HOG0001396	0.506	n
N0.HOG0001397	0.109	n
N0.HOG0001398	0.008	y
N0.HOG0001399	0.958	n
N0.HOG0001400	0.379	n
N0.HOG0001401	0.464	n
N0.HOG0001402	0.841	n
N0.HOG0001405	0.341	n
N0.HOG0001407	0.38	n
N0.HOG0001408	0.828	n
N0.HOG0001409	0.026	y
N0.HOG0001411	0.083	n
N0.HOG0001422	0.717	n
N0.HOG0001423	0.825	n
N0.HOG0001424	0	y
N0.HOG0001426	0.134	n
N0.HOG0001429	0.454	n
N0.HOG0001431	0.354	n
N0.HOG0001433	0.813	n
N0.HOG0001434	0.743	n
N0.HOG0001438	0.902	n
N0.HOG0001439	0.748	n
N0.HOG0001440	0.726	n
N0.HOG0001441	0.04	y
N0.HOG0001442	0.787	n
N0.HOG0001443	0.681	n
N0.HOG0001444	0.927	n
N0.HOG0001446	0.001	y
N0.HOG0001447	0.744	n
N0.HOG0001448	0.099	n
N0.HOG0001451	0.243	n
N0.HOG0001452	0.784	n
N0.HOG0001453	0.099	n
N0.HOG0001454	0.732	n
N0.HOG0001455	0.005	y
N0.HOG0001457	0.741	n
N0.HOG0001458	0.001	y
N0.HOG0001459	0.636	n
N0.HOG0001462	0.231	n
N0.HOG0001463	0.944	n
N0.HOG0001464	0.627	n
N0.HOG0001466	0.366	n
N0.HOG0001467	0.903	n
N0.HOG0001468	0.06	n
N0.HOG0001470	0.918	n
N0.HOG0001471	0.353	n
N0.HOG0001472	0.732	n
N0.HOG0001473	0.88	n
N0.HOG0001474	0.037	y
N0.HOG0001475	0.891	n
N0.HOG0001476	0.007	y
N0.HOG0001477	0.845	n
N0.HOG0001478	0.516	n
N0.HOG0001479	0.568	n
N0.HOG0001482	0.62	n
N0.HOG0001483	0.514	n
N0.HOG0001484	0.38	n
N0.HOG0001485	0.78	n
N0.HOG0001486	0.327	n
N0.HOG0001487	0.23	n
N0.HOG0001489	0.218	n
N0.HOG0001490	0.592	n
N0.HOG0001491	0	y
N0.HOG0001492	0.516	n
N0.HOG0001493	0	y
N0.HOG0001496	0.41	n
N0.HOG0001497	0.151	n
N0.HOG0001498	0.575	n
N0.HOG0001499	0.743	n
N0.HOG0001500	0.855	n
N0.HOG0001504	0.881	n
N0.HOG0001505	0.75	n
N0.HOG0001506	0.876	n
N0.HOG0001507	0.416	n
N0.HOG0001508	0.497	n
N0.HOG0001509	0.026	y
N0.HOG0001510	0.14	n
N0.HOG0001511	0.426	n
N0.HOG0001512	0.04	y
N0.HOG0001513	0.965	n
N0.HOG0001514	0.828	n
N0.HOG0001515	0.223	n
N0.HOG0001518	0	y
N0.HOG0001520	0.008	y
N0.HOG0001525	0.027	y
N0.HOG0001526	0	y
N0.HOG0001527	0	y
N0.HOG0001534	0.418	n
N0.HOG0001538	0.517	n
N0.HOG0001539	0.125	n
N0.HOG0001540	0.38	n
N0.HOG0001541	0.007	y
N0.HOG0001542	0.154	n
N0.HOG0001543	0.073	n
N0.HOG0001544	0.574	n
